unit_index,task,band,dyad,ch1_index,ch2_index,ch1,ch2,observed_effect,observed_studentized,p_label_unadjusted,p_label_maxT,label_candidate
922,decision,delta,pair23,10,10,Fp2,Fp2,0.015896834433078766,0.6802843809127808,0.4953009398120376,1.0,False
923,decision,delta,pair23,10,11,Fp2,T3,-0.023051895201206207,-0.929644763469696,0.34953009398120377,1.0,False
924,decision,delta,pair23,10,12,Fp2,T5,0.0435473695397377,1.7085233926773071,0.08838232353529295,1.0,False
925,decision,delta,pair23,10,13,Fp2,O1,-0.023187285289168358,-0.9501084685325623,0.34873025394921014,1.0,False
926,decision,delta,pair23,10,14,Fp2,O2,0.023045353591442108,1.018817663192749,0.3069386122775445,1.0,False
927,decision,delta,pair23,10,15,Fp2,F7,-0.08220669627189636,-3.1325511932373047,0.0015996800639872025,1.0,False
928,decision,delta,pair23,10,16,Fp2,F8,-0.033998604863882065,-1.4867883920669556,0.13817236552689463,1.0,False
929,decision,delta,pair23,10,17,Fp2,T6,-0.04116920754313469,-1.6746773719787598,0.09138172365526895,1.0,False
930,decision,delta,pair23,10,18,Fp2,T4,0.04831062629818916,2.066689968109131,0.04059188162367527,1.0,False
931,decision,delta,pair23,11,0,T3,P3,-0.017264772206544876,-0.6874769926071167,0.499500099980004,1.0,False
932,decision,delta,pair23,11,1,T3,C3,-0.03089114837348461,-1.1253833770751953,0.25834833033393323,1.0,False
933,decision,delta,pair23,11,2,T3,F3,-0.03792721405625343,-1.5549614429473877,0.11697660467906419,1.0,False
934,decision,delta,pair23,11,3,T3,Fz,-0.00036609472590498626,-0.013499868102371693,0.9906018796240752,1.0,False
935,decision,delta,pair23,11,4,T3,F4,0.024927571415901184,1.081905722618103,0.2907418516296741,1.0,False
936,decision,delta,pair23,11,5,T3,C4,-0.026721829548478127,-1.0640110969543457,0.29014197160567884,1.0,False
937,decision,delta,pair23,11,6,T3,P4,0.012411081232130527,0.5249761939048767,0.6084783043391322,1.0,False
938,decision,delta,pair23,11,7,T3,Cz,-0.004909425042569637,-0.1912253051996231,0.8510297940411917,1.0,False
939,decision,delta,pair23,11,8,T3,Pz,0.08310860395431519,3.393853187561035,0.0007998400319936012,0.9966006798640272,False
940,decision,delta,pair23,11,9,T3,Fp1,0.034092944115400314,1.2812179327011108,0.20235952809438112,1.0,False
