group,task,trial_1based,retain_sensitivity,BT_label,flag_source_subjects
G07,decision,13,False,CCC,sub-G07S03
G07,decision,14,False,CCC,sub-G07S03
G07,decision,15,True,CCC,
G07,decision,16,True,CCC,
G07,decision,17,True,CCC,
G07,decision,18,True,CCC,
G07,decision,19,True,CCC,
G07,decision,20,True,CCC,
G07,decision,21,True,CCC,
G07,decision,22,False,CCC,sub-G07S03
G07,decision,23,True,CCC,
G07,decision,24,True,CCC,
G07,decision,25,True,CCC,
G07,decision,26,True,CCC,
G07,decision,27,True,CCC,
G07,decision,28,True,CCC,
G07,decision,29,False,CCC,sub-G07S03
G07,decision,30,True,CCC,
G07,decision,31,True,CCC,
G07,decision,32,True,CCC,
G07,decision,33,True,Other,
G07,decision,34,False,CCC,sub-G07S03
G07,decision,35,True,CCC,
G07,decision,36,True,CCC,
G07,decision,37,True,CCC,
G07,decision,38,True,CCC,
G07,decision,39,True,CCC,
G07,decision,40,False,CCC,sub-G07S03
G07,feedback,1,False,CCC,sub-G07S03
G07,feedback,2,False,CCC,sub-G07S03
G07,feedback,3,False,CCC,sub-G07S03
G07,feedback,4,False,CCC,sub-G07S03
G07,feedback,5,True,CCC,
G07,feedback,6,True,CCC,
G07,feedback,7,True,CCC,
G07,feedback,8,True,CCC,
G07,feedback,9,True,CCC,
G07,feedback,10,True,CCC,
G07,feedback,11,False,CCC,sub-G07S03
G07,feedback,12,False,CCC,sub-G07S03
G07,feedback,13,False,CCC,sub-G07S03
G07,feedback,14,False,CCC,sub-G07S03
G07,feedback,15,True,CCC,
G07,feedback,16,True,CCC,
G07,feedback,17,True,CCC,
G07,feedback,18,True,CCC,
G07,feedback,19,True,CCC,
G07,feedback,20,True,CCC,
G07,feedback,21,True,CCC,
G07,feedback,22,True,CCC,
G07,feedback,23,True,CCC,
G07,feedback,24,True,CCC,
G07,feedback,25,True,CCC,
G07,feedback,26,True,CCC,
G07,feedback,27,True,CCC,
G07,feedback,28,True,CCC,
G07,feedback,29,True,CCC,
G07,feedback,30,True,CCC,
G07,feedback,31,True,CCC,
G07,feedback,32,True,CCC,
G07,feedback,33,False,Other,sub-G07S03
G07,feedback,34,False,CCC,sub-G07S03
G07,feedback,35,False,CCC,sub-G07S03
G07,feedback,36,True,CCC,
G07,feedback,37,True,CCC,
G07,feedback,38,True,CCC,
G07,feedback,39,True,CCC,
G07,feedback,40,True,CCC,
G08,decision,1,True,CCC,
G08,decision,2,True,Other,
G08,decision,3,True,Other,
G08,decision,4,True,Other,
G08,decision,5,True,Other,
G08,decision,6,True,Other,
G08,decision,7,True,Other,
G08,decision,8,True,Other,
G08,decision,9,True,Other,
G08,decision,10,True,Other,
G08,decision,11,True,Other,
G08,decision,12,True,Other,
G08,decision,13,True,Other,
G08,decision,14,True,CCC,
G08,decision,15,True,Other,
G08,decision,16,True,Other,
G08,decision,17,True,CCC,
G08,decision,18,True,Other,
G08,decision,19,True,Other,
G08,decision,20,True,Other,
G08,decision,21,True,Other,
G08,decision,22,True,Other,
G08,decision,23,True,Other,
G08,decision,24,True,Other,
G08,decision,25,True,Other,
G08,decision,26,True,Other,
G08,decision,27,True,Other,
G08,decision,28,True,Other,
G08,decision,29,True,CCC,
G08,decision,30,True,Other,
G08,decision,31,True,Other,
G08,decision,32,True,Other,
G08,decision,33,True,Other,
G08,decision,34,True,CCC,
G08,decision,35,True,Other,
G08,decision,36,True,CCC,
G08,decision,37,True,CCC,
G08,decision,38,True,CCC,
G08,decision,39,True,CCC,
G08,decision,40,True,CCC,
G08,feedback,1,True,CCC,
G08,feedback,2,True,Other,
G08,feedback,3,True,Other,
G08,feedback,4,True,Other,
G08,feedback,5,True,Other,
G08,feedback,6,True,Other,
G08,feedback,7,True,Other,
G08,feedback,8,True,Other,
G08,feedback,9,True,Other,
G08,feedback,10,True,Other,
G08,feedback,11,True,Other,
G08,feedback,12,True,Other,
G08,feedback,13,True,Other,
G08,feedback,14,True,CCC,
G08,feedback,15,True,Other,
G08,feedback,16,True,Other,
G08,feedback,17,True,CCC,
G08,feedback,18,True,Other,
G08,feedback,19,True,Other,
G08,feedback,20,True,Other,
G08,feedback,21,True,Other,
G08,feedback,22,True,Other,
G08,feedback,23,True,Other,
G08,feedback,24,True,Other,
G08,feedback,25,True,Other,
G08,feedback,26,True,Other,
G08,feedback,27,True,Other,
G08,feedback,28,True,Other,
G08,feedback,29,True,CCC,
G08,feedback,30,True,Other,
G08,feedback,31,True,Other,
G08,feedback,32,True,Other,
G08,feedback,33,True,Other,
G08,feedback,34,True,CCC,
G08,feedback,35,True,Other,
G08,feedback,36,True,CCC,
G08,feedback,37,True,CCC,
G08,feedback,38,True,CCC,
G08,feedback,39,True,CCC,
G08,feedback,40,True,CCC,
G09,decision,1,True,CCC,
G09,decision,2,True,CCC,
G09,decision,3,True,CCC,
G09,decision,4,True,CCC,
G09,decision,5,True,CCC,
G09,decision,6,True,CCC,
G09,decision,7,True,CCC,
G09,decision,8,True,CCC,
G09,decision,9,True,CCC,
G09,decision,10,True,CCC,
G09,decision,11,True,CCC,
G09,decision,12,True,CCC,
G09,decision,13,True,Other,
G09,decision,14,True,Other,
G09,decision,15,True,Other,
G09,decision,16,True,Other,
G09,decision,17,True,Other,
G09,decision,18,True,Other,
G09,decision,19,True,Other,
G09,decision,20,True,Other,
G09,decision,21,True,Other,
G09,decision,22,True,Other,
G09,decision,23,True,Other,
G09,decision,24,True,Other,
G09,decision,25,True,Other,
G09,decision,26,True,Other,
G09,decision,27,True,Other,
G09,decision,28,True,Other,
G09,decision,29,True,Other,
G09,decision,30,True,Other,
G09,decision,31,True,Other,
G09,decision,32,True,Other,
G09,decision,33,True,Other,
G09,decision,34,True,Other,
G09,decision,35,True,Other,
G09,decision,36,True,Other,
G09,decision,37,True,Other,
G09,decision,38,True,Other,
G09,decision,39,True,Other,
G09,decision,40,True,Other,
G09,feedback,1,True,CCC,
G09,feedback,2,True,CCC,
G09,feedback,3,True,CCC,
G09,feedback,4,True,CCC,
G09,feedback,5,True,CCC,
G09,feedback,6,True,CCC,
G09,feedback,7,True,CCC,
G09,feedback,8,True,CCC,
G09,feedback,9,True,CCC,
G09,feedback,10,True,CCC,
G09,feedback,11,True,CCC,
G09,feedback,12,True,CCC,
G09,feedback,13,True,Other,
G09,feedback,14,True,Other,
G09,feedback,15,True,Other,
G09,feedback,16,True,Other,
G09,feedback,17,True,Other,
G09,feedback,18,True,Other,
G09,feedback,19,True,Other,
G09,feedback,20,True,Other,
G09,feedback,21,True,Other,
G09,feedback,22,True,Other,
G09,feedback,23,True,Other,
G09,feedback,24,True,Other,
G09,feedback,25,True,Other,
G09,feedback,26,True,Other,
G09,feedback,27,True,Other,
G09,feedback,28,True,Other,
G09,feedback,29,True,Other,
G09,feedback,30,True,Other,
G09,feedback,31,True,Other,
G09,feedback,32,True,Other,
G09,feedback,33,True,Other,
G09,feedback,34,True,Other,
G09,feedback,35,True,Other,
G09,feedback,36,True,Other,
G09,feedback,37,True,Other,
G09,feedback,38,True,Other,
G09,feedback,39,True,Other,
G09,feedback,40,True,Other,
G10,decision,1,True,CCC,
G10,decision,2,True,CCC,
G10,decision,3,True,CCC,
G10,decision,4,True,Other,
G10,decision,5,True,Other,
G10,decision,6,True,CCC,
G10,decision,7,True,CCC,
G10,decision,8,True,CCC,
G10,decision,9,True,CCC,
G10,decision,10,True,CCC,
G10,decision,11,True,CCC,
G10,decision,12,True,CCC,
G10,decision,13,True,CCC,
